graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","11.750000000000002","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","6.7158","0","0.0000029891200000000004","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","10.103200000000001","63","7.15112e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","5.5334","34.2","0.0000047927799999999995","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","9.2456","63","7.15112e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500","281992.8","2313214","5.1739999999999995","29.4","0.00000410286","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","11.6776","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","7.5714","0","0.00000244576","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","10.1274","63","8.06812e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","6.167800000000001","38.2","0.000004341719999999999","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","9.206","63","8.06812e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000","282089","2313762.6","5.7474","33.8","0.00000373934","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","11.4598","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","8.4758","0","0.0000032602599999999997","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","10.009800000000002","62.2","9.9013e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","7.4256","46","0.00000404996","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","9.1042","62.2","9.9013e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","5000","282787.8","2318100.8","6.7854","41.4","0.00000380556","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","11.316199999999998","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","8.8384","0","0.0000037746799999999995","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","10.082199999999998","62","7.345140000000001e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","7.9872","49","0.00000407884","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","9.1114","62","7.345140000000001e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","10000","283676.4","2323541","7.263800000000001","44.8","0.0000036154","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","11.084","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","10.238600000000002","0","0.000002287","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","9.6228","59.2","9.93066e-7","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","8.8022","54","0.0000037297799999999993","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","8.737","59.2","9.93066e-7","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","50000","289681","2366281.4","8.059","50.6","0.00000336858","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","10.737800000000002","0","0","pagerankNvgraph [static]"
